Order_ID,Date,Customer,Product,Category,Region,Quantity,Unit_Price,Revenue
ORD1815,2025-01-01,Customer_03,Printer,Electronics,South,1,254.6,254.6
ORD1495,2025-01-01,Customer_16,Office Chair,Furniture,West,4,198.39,793.56
ORD1941,2025-01-01,Customer_10,Office Chair,Furniture,North,2,223.1,446.2
ORD1758,2025-01-01,Customer_03,Smartphone,Electronics,North,4,640.46,2561.84
ORD1448,2025-01-01,Customer_19,Standing Desk,Furniture,South,5,494.94,2474.7
ORD2127,2025-01-02,Customer_03,Notebook Pack,Stationery,West,6,15.81,94.86
ORD2288,2025-01-02,Customer_23,Laptop,Electronics,North,1,956.12,956.12
ORD1238,2025-01-02,Customer_27,Headphones,Electronics,North,5,111.15,555.75
ORD2145,2025-01-02,Customer_09,Office Chair,Furniture,West,5,198.56,992.8
ORD1412,2025-01-02,Customer_07,Headphones,Electronics,South,2,117.3,234.6
ORD1049,2025-01-02,Customer_22,Printer,Electronics,East,6,248.76,1492.56
ORD1121,2025-01-02,Customer_30,Notebook Pack,Stationery,South,4,16.32,65.28
ORD1701,2025-01-03,Customer_07,Standing Desk,Furniture,West,3,448.53,1345.59
ORD1900,2025-01-03,Customer_16,Laptop,Electronics,North,5,932.73,4663.65
ORD1942,2025-01-04,Customer_28,Monitor,Electronics,East,3,319.12,957.36
ORD1306,2025-01-04,Customer_09,Headphones,Electronics,North,2,117.81,235.62
ORD1262,2025-01-04,Customer_23,Headphones,Electronics,North,4,130.13,520.52
ORD1031,2025-01-04,Customer_09,Smartphone,Electronics,North,6,626.23,3757.38
ORD1181,2025-01-05,Customer_06,Smartphone,Electronics,East,5,591.05,2955.25
ORD1123,2025-01-07,Customer_19,Office Chair,Furniture,North,1,226.78,226.78
ORD2474,2025-01-07,Customer_26,Monitor,Electronics,West,2,328.14,656.28
ORD1151,2025-01-07,Customer_07,Headphones,Electronics,West,4,127.26,509.04
ORD1093,2025-01-07,Customer_08,Office Chair,Furniture,North,5,197.51,987.55
ORD1028,2025-01-08,Customer_07,Standing Desk,Furniture,West,6,454.5,2727.0
ORD1589,2025-01-08,Customer_28,Printer,Electronics,North,4,249.1,996.4
ORD1670,2025-01-08,Customer_05,Monitor,Electronics,West,7,312.99,2190.93
ORD1760,2025-01-09,Customer_06,Smartphone,Electronics,North,5,669.6,3348.0
ORD1282,2025-01-09,Customer_30,Notebook Pack,Stationery,East,6,16.25,97.5
ORD2211,2025-01-09,Customer_22,Printer,Electronics,West,5,262.63,1313.15
ORD1243,2025-01-09,Customer_16,Notebook Pack,Stationery,West,2,14.36,28.72
ORD1637,2025-01-09,Customer_15,Headphones,Electronics,West,7,108.96,762.72
ORD1968,2025-01-10,Customer_18,Monitor,Electronics,North,5,301.1,1505.5
ORD1722,2025-01-10,Customer_23,Printer,Electronics,North,5,239.14,1195.7
ORD1828,2025-01-10,Customer_21,Printer,Electronics,East,2,256.76,513.52
ORD2135,2025-01-10,Customer_30,Laptop,Electronics,East,6,930.37,5582.22
ORD1909,2025-01-10,Customer_28,Laptop,Electronics,South,6,957.26,5743.56
ORD1443,2025-01-11,Customer_07,Office Chair,Furniture,West,2,230.32,460.64
ORD1089,2025-01-11,Customer_15,Printer,Electronics,North,4,279.94,1119.76
ORD2450,2025-01-12,Customer_26,Headphones,Electronics,West,1,116.33,116.33
ORD1762,2025-01-12,Customer_18,Monitor,Electronics,West,6,279.29,1675.74
ORD1035,2025-01-12,Customer_29,Laptop,Electronics,North,3,826.21,2478.63
ORD1998,2025-01-12,Customer_22,Monitor,Electronics,West,5,271.41,1357.05
ORD2058,2025-01-12,Customer_07,Office Chair,Furniture,East,5,217.16,1085.8
ORD1368,2025-01-12,Customer_13,Laptop,Electronics,West,5,889.65,4448.25
ORD2365,2025-01-13,Customer_26,Laptop,Electronics,East,6,869.78,5218.68
ORD1821,2025-01-13,Customer_01,Notebook Pack,Stationery,West,4,15.4,61.6
ORD1182,2025-01-13,Customer_23,Office Chair,Furniture,East,7,220.92,1546.44
ORD2263,2025-01-14,Customer_23,Printer,Electronics,West,3,282.45,847.35
ORD1408,2025-01-14,Customer_20,Monitor,Electronics,North,1,310.95,310.95
ORD2227,2025-01-15,Customer_19,Monitor,Electronics,West,7,289.35,2025.45
ORD2129,2025-01-15,Customer_13,Notebook Pack,Stationery,West,1,14.41,14.41
ORD1537,2025-01-15,Customer_04,Laptop,Electronics,East,1,844.22,844.22
ORD1702,2025-01-15,Customer_08,Smartphone,Electronics,North,5,607.13,3035.65
ORD2380,2025-01-15,Customer_29,Monitor,Electronics,North,4,288.69,1154.76
ORD2271,2025-01-15,Customer_16,Laptop,Electronics,West,7,967.65,6773.55
ORD1838,2025-01-16,Customer_29,Laptop,Electronics,East,5,959.3,4796.5
ORD1370,2025-01-16,Customer_30,Headphones,Electronics,West,1,118.4,118.4
ORD1870,2025-01-17,Customer_02,Office Chair,Furniture,North,7,195.1,1365.7
ORD2021,2025-01-17,Customer_02,Laptop,Electronics,East,7,854.92,5984.44
ORD1305,2025-01-17,Customer_08,Smartphone,Electronics,East,5,679.86,3399.3
ORD2279,2025-01-17,Customer_26,Printer,Electronics,South,5,238.56,1192.8
ORD1017,2025-01-18,Customer_07,Smartphone,Electronics,East,7,623.81,4366.67
ORD1280,2025-01-18,Customer_03,Headphones,Electronics,East,4,115.41,461.64
ORD2383,2025-01-18,Customer_17,Monitor,Electronics,South,3,327.59,982.77
ORD1025,2025-01-18,Customer_19,Notebook Pack,Stationery,North,1,15.17,15.17
ORD1152,2025-01-19,Customer_06,Monitor,Electronics,West,3,277.57,832.71
ORD1475,2025-01-19,Customer_07,Printer,Electronics,East,4,255.42,1021.68
ORD1777,2025-01-19,Customer_26,Laptop,Electronics,West,5,939.54,4697.7
ORD2004,2025-01-19,Customer_25,Smartphone,Electronics,North,2,698.74,1397.48
ORD1141,2025-01-19,Customer_13,Smartphone,Electronics,West,6,585.12,3510.72
ORD1911,2025-01-19,Customer_30,Smartphone,Electronics,West,6,685.71,4114.26
ORD2471,2025-01-19,Customer_27,Notebook Pack,Stationery,East,2,13.64,27.28
ORD2117,2025-01-20,Customer_04,Standing Desk,Furniture,East,7,512.22,3585.54
ORD1482,2025-01-20,Customer_24,Headphones,Electronics,East,4,115.46,461.84
ORD1813,2025-01-20,Customer_14,Headphones,Electronics,West,7,123.32,863.24
ORD1478,2025-01-21,Customer_13,Notebook Pack,Stationery,South,4,15.94,63.76
ORD1300,2025-01-21,Customer_20,Headphones,Electronics,East,4,118.48,473.92
ORD1987,2025-01-21,Customer_03,Headphones,Electronics,North,4,111.44,445.76
ORD2156,2025-01-22,Customer_22,Laptop,Electronics,East,3,974.14,2922.42
ORD1114,2025-01-22,Customer_11,Standing Desk,Furniture,East,6,463.02,2778.12
ORD1959,2025-01-22,Customer_07,Office Chair,Furniture,North,2,191.67,383.34
ORD2287,2025-01-22,Customer_25,Smartphone,Electronics,East,5,690.91,3454.55
ORD1388,2025-01-23,Customer_09,Monitor,Electronics,West,6,293.63,1761.78
ORD2024,2025-01-23,Customer_14,Printer,Electronics,East,4,248.65,994.6
ORD2481,2025-01-23,Customer_09,Laptop,Electronics,West,4,907.06,3628.24
ORD1501,2025-01-23,Customer_20,Notebook Pack,Stationery,East,6,15.49,92.94
ORD1872,2025-01-23,Customer_26,Laptop,Electronics,South,5,815.44,4077.2
ORD2387,2025-01-24,Customer_02,Headphones,Electronics,North,7,111.79,782.53
ORD1628,2025-01-24,Customer_26,Standing Desk,Furniture,East,2,520.0,1040.0
ORD1830,2025-01-24,Customer_27,Smartphone,Electronics,North,1,684.56,684.56
ORD2303,2025-01-24,Customer_02,Monitor,Electronics,East,6,303.86,1823.16
ORD1268,2025-01-25,Customer_05,Standing Desk,Furniture,East,2,452.58,905.16
ORD2210,2025-01-25,Customer_05,Standing Desk,Furniture,South,2,506.14,1012.28
ORD2463,2025-01-25,Customer_20,Laptop,Electronics,West,5,865.87,4329.35
ORD1939,2025-01-25,Customer_16,Standing Desk,Furniture,North,5,446.93,2234.65
ORD1811,2025-01-25,Customer_14,Monitor,Electronics,South,1,285.05,285.05
ORD2204,2025-01-26,Customer_09,Notebook Pack,Stationery,West,5,15.11,75.55
ORD2294,2025-01-26,Customer_28,Monitor,Electronics,South,4,316.32,1265.28
ORD2090,2025-01-26,Customer_23,Standing Desk,Furniture,South,3,472.97,1418.91
ORD1731,2025-01-26,Customer_26,Office Chair,Furniture,North,2,227.45,454.9
ORD1452,2025-01-27,Customer_14,Office Chair,Furniture,South,7,198.99,1392.93
ORD1333,2025-01-27,Customer_26,Printer,Electronics,North,4,272.49,1089.96
ORD1524,2025-01-27,Customer_09,Headphones,Electronics,West,2,123.24,246.48
ORD1410,2025-01-28,Customer_03,Smartphone,Electronics,West,1,600.68,600.68
ORD2168,2025-01-28,Customer_16,Monitor,Electronics,North,1,309.43,309.43
ORD1070,2025-01-29,Customer_13,Printer,Electronics,North,5,249.78,1248.9
